CustomerID,Date,Month,Season,Age,Gender,Region,Income,Membership,ProductsPurchased,PurchaseFrequency,AverageOrderValue,DiscountUsed,MarketingChannel,SatisfactionScore,ChurnRisk,CustomerLifetimeValue
77,2026-05-17,May,Q2,40,Male,South,92249,Bronze,10,8,95.95,No,Referral,4.3,Low,4187.66
78,2026-12-18,December,Q4,68,Male,South,32698,Bronze,8,7,245.09,No,Direct,4.2,Low,10611.09
79,2026-07-18,July,Q3,62,Male,South,121386,Gold,11,10,168.71,No,Direct,3.6,Medium,8878.81
80,2026-03-02,March,Q1,44,Female,North,141469,Silver,7,6,177.09,No,Social Media,4.0,Low,5963.82
81,2026-10-13,October,Q4,31,Female,East,84288,Gold,15,10,178.23,No,Social Media,3.3,Medium,6809.27
82,2026-08-30,August,Q3,38,Female,North,91025,Bronze,2,3,212.26,No,Email,4.5,Medium,3154.76
83,2026-09-09,September,Q3,56,Female,South,112382,Gold,12,8,81.5,No,Social Media,3.3,Medium,3061.5
84,2026-11-04,November,Q4,30,Male,East,120314,Bronze,8,6,195.35,Yes,Email,4.9,Low,6024.57
85,2026-02-25,February,Q1,28,Male,North,57695,Bronze,6,7,125.54,No,Referral,3.3,Medium,2865.78
86,2026-05-11,May,Q2,25,Male,West,32648,Silver,6,7,131.54,Yes,Referral,3.5,Medium,4075.49
87,2026-08-25,August,Q3,62,Male,South,80826,Platinum,9,7,111.53,Yes,Email,4.3,Low,4850.04
88,2026-01-14,January,Q1,69,Male,South,62097,Silver,5,6,220.04,No,Email,3.4,Medium,5765.3
89,2026-10-28,October,Q4,61,Male,North,98465,Gold,11,8,108.68,Yes,Direct,3.9,Medium,4448.59
90,2026-01-10,January,Q1,20,Female,South,54934,Silver,7,7,144.27,No,Email,4.6,Low,5102.52
91,2026-10-03,October,Q4,35,Male,South,41704,Platinum,16,9,186.54,No,Email,3.4,Medium,9806.18
92,2026-04-12,April,Q2,44,Female,North,112100,Bronze,4,4,173.38,No,Social Media,3.7,Medium,1843.27
93,2026-04-22,April,Q2,31,Male,South,83722,Bronze,4,3,115.05,No,Email,3.5,Medium,880.79
94,2026-08-18,August,Q3,68,Female,West,44233,Gold,8,10,118.56,No,Referral,3.8,Medium,4844.93
95,2026-01-19,January,Q1,48,Female,North,144981,Bronze,7,5,116.37,No,Email,3.9,Medium,2089.71
96,2026-12-23,December,Q4,48,Female,East,112291,Platinum,13,13,225.66,No,Direct,4.5,Low,29925.98
97,2026-04-07,April,Q2,30,Male,South,99336,Bronze,5,4,146.2,Yes,Social Media,4.1,Medium,2318.8
98,2026-12-16,December,Q4,36,Male,North,92860,Silver,5,6,169.01,No,Social Media,3.3,Medium,6067.6
99,2026-12-21,December,Q4,23,Female,North,97511,Bronze,3,3,123.82,Yes,Direct,4.1,Medium,1443.45
100,2026-01-02,January,Q1,43,Male,East,128329,Silver,5,6,126.21,No,Email,3.7,Medium,2537.02
101,2026-11-01,November,Q4,54,Female,East,72480,Silver,6,6,216.75,No,Referral,4.1,Low,9291.99
102,2026-05-25,May,Q2,65,Female,North,51593,Silver,6,7,155.74,Yes,Referral,4.9,Low,6727.92
103,2026-05-23,May,Q2,30,Male,North,110647,Gold,11,7,139.15,No,Direct,4.2,Low,5737.32
104,2026-06-21,June,Q2,48,Male,West,83464,Gold,14,8,206.08,No,Email,3.2,Medium,6571.95
105,2026-02-07,February,Q1,49,Male,East,135831,Bronze,7,6,157.66,No,Referral,4.5,Low,4182.05
106,2026-06-11,June,Q2,62,Male,North,107863,Gold,5,4,181.04,No,Social Media,3.8,Medium,3076.79
107,2026-03-08,March,Q1,25,Male,West,115875,Gold,9,6,132.88,Yes,Direct,2.5,High,2040.82
108,2026-09-22,September,Q3,25,Male,South,145936,Bronze,4,4,138.63,No,Email,3.9,Medium,2151.86
109,2026-11-01,November,Q4,59,Male,South,105361,Platinum,11,9,121.58,No,Social Media,3.8,Medium,7233.44
110,2026-08-06,August,Q3,55,Female,South,96539,Silver,19,12,118.28,Yes,Social Media,3.5,Medium,5464.5
111,2026-04-12,April,Q2,36,Male,North,130533,Bronze,5,4,95.84,Yes,Email,4.1,Medium,1532.38
112,2026-10-31,October,Q4,34,Male,East,138271,Platinum,6,7,224.37,No,Social Media,4.9,Low,10612.81
113,2026-09-28,September,Q3,47,Female,West,36162,Bronze,13,8,42.46,No,Referral,3.2,Medium,1041.5
114,2026-02-11,February,Q1,32,Male,North,78050,Bronze,9,6,115.23,No,Social Media,3.1,Medium,2070.09
115,2026-03-02,March,Q1,30,Female,North,96140,Bronze,6,7,114.39,Yes,Social Media,4.4,Low,3162.66
116,2026-02-07,February,Q1,19,Male,North,99730,Silver,10,8,187.07,No,Social Media,4.5,Low,7519.21
117,2026-08-04,August,Q3,51,Female,West,118324,Platinum,12,8,199.02,No,Referral,3.9,Medium,7135.91
118,2026-02-16,February,Q1,50,Male,East,51213,Bronze,12,8,154.82,No,Social Media,3.2,Medium,4037.17
119,2026-11-04,November,Q4,53,Female,West,64295,Silver,19,12,180.11,Yes,Referral,3.5,Medium,11163.09
120,2026-03-17,March,Q1,30,Female,East,118834,Silver,5,6,125.83,No,Direct,4.9,Low,3603.89
121,2026-06-29,June,Q2,46,Male,North,73054,Bronze,5,6,112.33,No,Referral,3.9,Medium,3050.14
122,2026-12-09,December,Q4,64,Male,South,47077,Silver,11,8,196.4,No,Email,3.0,Medium,6009.99
123,2026-10-26,October,Q4,27,Male,North,108719,Gold,7,6,171.47,No,Email,3.8,Medium,5062.71
124,2026-05-30,May,Q2,52,Male,East,121726,Bronze,5,3,124.01,No,Direct,4.1,Medium,1551.15
125,2026-12-25,December,Q4,19,Female,South,29127,Gold,15,9,184.74,No,Social Media,4.0,Low,14329.22
126,2026-06-14,June,Q2,54,Female,North,136579,Gold,12,7,191.93,Yes,Social Media,4.7,Low,10332.68
127,2026-07-13,July,Q3,37,Male,West,58116,Gold,11,7,182.48,No,Email,3.3,Medium,7146.89
128,2026-02-28,February,Q1,18,Male,West,41349,Platinum,14,10,202.89,No,Social Media,4.4,Low,16905.2
129,2026-02-24,February,Q1,69,Male,East,50672,Bronze,8,6,120.64,No,Referral,3.2,Medium,3329.19
130,2026-09-03,September,Q3,41,Male,North,55941,Silver,5,5,145.31,No,Direct,3.4,Medium,2668.37
131,2026-12-09,December,Q4,28,Female,West,94877,Gold,17,13,138.1,Yes,Email,5.0,Low,13876.5
132,2026-11-11,November,Q4,54,Female,East,103150,Bronze,7,5,131.63,No,Social Media,3.2,Medium,2378.38
133,2026-11-10,November,Q4,53,Male,South,132407,Bronze,14,8,180.07,No,Social Media,4.4,Low,8690.27
134,2026-07-25,July,Q3,69,Female,North,29229,Bronze,8,6,232.91,Yes,Email,3.1,Medium,4059.76
135,2026-12-29,December,Q4,30,Male,North,40466,Gold,8,9,216.62,No,Referral,3.5,Medium,10604.93
136,2026-07-19,July,Q3,29,Male,North,126415,Bronze,5,6,150.69,No,Email,4.1,Low,4557.4
137,2026-05-13,May,Q2,28,Male,North,67216,Silver,3,2,113.77,Yes,Social Media,3.3,High,456.66
138,2026-08-15,August,Q3,46,Female,West,83703,Bronze,6,6,156.57,Yes,Social Media,2.9,High,2135.46
139,2026-06-30,June,Q2,43,Female,West,142460,Bronze,5,4,109.08,Yes,Referral,4.2,Medium,1913.98
140,2026-11-11,November,Q4,68,Male,East,82910,Silver,12,9,187.6,Yes,Direct,3.9,Medium,6427.22
141,2026-03-03,March,Q1,63,Female,South,91561,Bronze,5,3,116.49,No,Email,2.9,High,829.14
142,2026-03-21,March,Q1,21,Female,East,96056,Silver,10,6,146.06,No,Social Media,2.9,High,2301.77
143,2026-10-12,October,Q4,23,Female,North,94220,Gold,7,8,181.7,No,Referral,3.5,Medium,7418.17
144,2026-09-14,September,Q3,64,Female,West,99055,Bronze,8,7,144.45,Yes,Referral,4.2,Low,4000.49
145,2026-09-06,September,Q3,52,Male,South,148432,Silver,14,8,156.74,No,Referral,3.8,Medium,5181.12
146,2026-09-29,September,Q3,46,Male,North,149444,Bronze,10,6,100.93,No,Social Media,3.6,Medium,2361.31
147,2026-05-03,May,Q2,55,Female,West,109481,Platinum,12,7,201.69,Yes,Direct,4.3,Low,11211.07
148,2026-03-13,March,Q1,30,Female,East,146051,Bronze,8,6,131.03,Yes,Social Media,2.7,High,1680.43
149,2026-06-30,June,Q2,27,Female,East,122795,Platinum,8,5,267.01,No,Direct,3.7,Medium,5913.16
150,2026-04-08,April,Q2,20,Male,South,35791,Silver,6,5,118.95,No,Referral,3.4,Medium,1614.98
151,2026-11-13,November,Q4,65,Female,South,135692,Bronze,6,5,188.56,No,Email,4.0,Low,5144.39
152,2026-09-23,September,Q3,60,Male,East,114864,Silver,6,4,132.65,No,Email,3.2,Medium,2248.48
153,2026-12-18,December,Q4,36,Male,West,137962,Platinum,13,14,217.56,Yes,Direct,3.1,Medium,15588.05
154,2026-04-28,April,Q2,33,Male,North,49572,Bronze,2,3,89.81,No,Social Media,3.3,Medium,838.47
155,2026-05-29,May,Q2,38,Female,North,105313,Gold,8,5,215.58,No,Direct,3.1,Medium,5330.63
156,2026-05-28,May,Q2,20,Female,North,128909,Silver,3,3,189.94,No,Social Media,3.2,Medium,1566.44
157,2026-06-24,June,Q2,63,Male,East,62062,Bronze,5,6,86.31,No,Social Media,3.7,Medium,1996.21
158,2026-10-01,October,Q4,39,Female,East,67796,Silver,4,4,209.7,Yes,Social Media,2.6,High,1792.47
159,2026-05-04,May,Q2,28,Male,North,34886,Bronze,6,5,144.26,No,Direct,2.7,High,1571.95
160,2026-02-22,February,Q1,44,Female,East,77927,Silver,7,8,92.5,No,Referral,3.3,Medium,2503.91
161,2026-09-02,September,Q3,24,Female,West,113891,Gold,5,3,242.95,Yes,Direct,4.0,Medium,2446.72
162,2026-09-16,September,Q3,63,Male,North,108419,Silver,7,7,156.03,No,Direct,4.1,Low,6363.33
163,2026-11-24,November,Q4,32,Male,South,33305,Bronze,18,11,143.85,No,Social Media,3.8,Medium,5375.97
164,2026-10-06,October,Q4,19,Male,North,148212,Silver,10,7,128.78,No,Social Media,4.9,Low,5779.36
165,2026-03-11,March,Q1,34,Male,West,124705,Bronze,10,7,98.17,Yes,Direct,2.9,High,1469.07
166,2026-01-09,January,Q1,43,Male,East,136401,Bronze,1,1,88.77,No,Email,3.2,High,172.68
167,2026-10-12,October,Q4,22,Female,East,98370,Silver,10,6,139.43,No,Social Media,2.8,High,2294.07
168,2026-07-31,July,Q3,29,Female,West,110341,Bronze,8,5,171.38,Yes,Direct,4.2,Low,3672.96
169,2026-06-22,June,Q2,50,Male,North,80465,Silver,7,6,144.85,Yes,Email,3.6,Medium,3260.81
170,2026-07-18,July,Q3,59,Male,West,118247,Silver,14,11,133.65,Yes,Referral,3.0,Medium,6074.92
171,2026-06-16,June,Q2,46,Male,North,59875,Silver,7,6,171.68,Yes,Social Media,3.6,Medium,2948.67
172,2026-10-02,October,Q4,59,Female,South,76526,Silver,10,6,153.81,No,Direct,3.6,Medium,3355.98
173,2026-04-05,April,Q2,31,Female,North,97060,Silver,10,6,139.91,Yes,Referral,3.8,Medium,3022.54
174,2026-07-13,July,Q3,42,Female,South,105933,Silver,10,6,110.88,No,Email,4.0,Low,2785.52
175,2026-06-21,June,Q2,18,Female,North,52430,Bronze,9,7,90.12,No,Referral,4.1,Low,2516.87
176,2026-01-01,January,Q1,61,Female,West,32665,Silver,9,6,148.41,No,Email,3.7,Medium,3983.39
177,2026-01-25,January,Q1,68,Male,East,70514,Silver,5,6,132.12,No,Social Media,3.5,Medium,3406.06
178,2026-08-16,August,Q3,65,Female,West,40243,Silver,6,6,92.78,Yes,Email,3.4,Medium,2568.74
179,2026-05-31,May,Q2,70,Male,South,108273,Silver,6,4,145.99,No,Direct,4.5,Medium,2572.69
180,2026-04-16,April,Q2,49,Female,West,119797,Silver,8,9,187.44,Yes,Direct,3.0,Medium,5624.33
181,2026-04-23,April,Q2,40,Female,West,68460,Bronze,4,2,97.82,Yes,Direct,4.6,High,401.15
182,2026-10-27,October,Q4,31,Female,South,80675,Silver,10,8,122.94,No,Email,4.0,Low,5655.11
183,2026-03-19,March,Q1,29,Male,North,68351,Bronze,8,7,149.46,No,Social Media,4.3,Low,4698.02
184,2026-05-22,May,Q2,66,Female,West,31723,Bronze,9,5,124.97,No,Email,4.6,Low,2825.18
185,2026-08-19,August,Q3,60,Female,West,112493,Silver,10,7,150.92,Yes,Social Media,3.7,Medium,3550.46
186,2026-10-03,October,Q4,40,Female,East,133589,Bronze,3,2,134.13,Yes,Referral,3.9,High,636.26
187,2026-12-17,December,Q4,29,Male,East,104043,Bronze,10,10,194.59,Yes,Direct,3.6,Medium,8969.29
188,2026-05-23,May,Q2,23,Male,South,120445,Gold,4,4,167.39,No,Direct,3.9,Medium,2903.84
189,2026-07-17,July,Q3,54,Male,West,125817,Platinum,11,9,125.16,No,Email,4.3,Low,7842.68
190,2026-06-29,June,Q2,45,Female,South,132227,Silver,10,9,68.49,No,Direct,4.7,Low,2639.23
191,2026-11-26,November,Q4,31,Female,North,33772,Gold,9,8,184.67,No,Social Media,3.3,Medium,6094.25
192,2026-01-10,January,Q1,43,Male,East,53254,Gold,9,8,137.15,No,Direct,4.5,Low,7311.05
193,2026-02-23,February,Q1,45,Male,South,123475,Gold,4,3,155.11,No,Social Media,4.3,Medium,2085.47
194,2026-10-18,October,Q4,50,Female,North,128528,Bronze,12,8,155.02,Yes,Email,3.7,Medium,5554.32
195,2026-12-18,December,Q4,59,Female,East,96419,Platinum,22,14,166.99,No,Referral,3.6,Medium,16043.23
196,2026-11-04,November,Q4,59,Female,West,51867,Silver,9,6,113.86,No,Email,3.3,Medium,3226.46
197,2026-10-20,October,Q4,67,Female,West,31077,Silver,8,6,164.96,Yes,Email,3.7,Medium,4554.14
198,2026-04-06,April,Q2,27,Male,South,50195,Bronze,8,5,113.31,No,Email,4.2,Low,1983.71
199,2026-03-17,March,Q1,64,Male,South,108923,Silver,16,10,115.99,No,Direct,2.9,High,3318.53
200,2026-03-11,March,Q1,39,Female,South,58689,Bronze,12,7,125.25,Yes,Referral,3.7,Medium,2279.24
201,2026-03-26,March,Q1,27,Female,North,27149,Bronze,7,6,72.5,Yes,Social Media,3.8,Medium,1716.47
202,2026-07-09,July,Q3,40,Female,North,86664,Bronze,5,6,125.57,No,Email,4.2,Low,3982.0
203,2026-01-20,January,Q1,42,Female,West,127725,Bronze,3,3,77.56,No,Social Media,3.7,Medium,697.52
204,2026-07-28,July,Q3,51,Female,South,81937,Gold,12,8,202.62,Yes,Referral,3.7,Medium,8413.52
205,2026-09-05,September,Q3,43,Female,West,147680,Bronze,4,4,207.6,Yes,Social Media,3.2,Medium,2836.75
206,2026-01-18,January,Q1,36,Male,West,66841,Silver,3,3,104.74,Yes,Referral,3.6,Medium,1232.79
207,2026-01-07,January,Q1,66,Female,West,132176,Bronze,3,4,147.28,No,Email,3.8,Medium,2009.85
208,2026-08-08,August,Q3,53,Female,South,126554,Gold,10,6,90.41,Yes,Social Media,2.3,High,1862.17
209,2026-06-29,June,Q2,27,Female,South,102789,Silver,8,5,146.9,No,Referral,3.4,Medium,3067.64
210,2026-03-19,March,Q1,33,Female,West,98782,Platinum,12,7,170.33,No,Email,3.3,Medium,6520.56
211,2026-05-30,May,Q2,18,Female,South,60648,Bronze,9,6,138.83,Yes,Email,4.1,Low,4404.94
212,2026-10-12,October,Q4,31,Male,East,74338,Bronze,6,6,190.94,No,Email,3.8,Medium,3754.49
213,2026-03-31,March,Q1,50,Female,West,34841,Gold,8,5,178.7,No,Email,3.5,Medium,3829.54
214,2026-12-20,December,Q4,23,Female,West,86102,Bronze,10,8,225.77,Yes,Social Media,3.9,Medium,7372.53
215,2026-07-05,July,Q3,62,Male,South,84542,Silver,14,9,129.82,Yes,Social Media,3.2,Medium,4233.36
216,2026-06-21,June,Q2,31,Male,East,120593,Bronze,4,4,133.33,No,Referral,4.1,Medium,1896.94
217,2026-10-01,October,Q4,63,Male,North,32694,Silver,10,6,184.2,No,Referral,4.5,Low,4916.71
218,2026-11-09,November,Q4,49,Female,North,101396,Platinum,12,12,249.71,No,Direct,4.7,Low,27556.73
219,2026-12-22,December,Q4,70,Female,North,34781,Gold,20,12,230.98,Yes,Direct,3.3,Medium,12583.69
220,2026-08-27,August,Q3,53,Female,East,117400,Platinum,10,10,217.4,No,Email,2.3,High,7069.45
221,2026-09-20,September,Q3,48,Female,North,131614,Bronze,8,6,44.93,No,Email,4.3,Low,1179.8
222,2026-06-26,June,Q2,55,Male,North,40354,Bronze,5,6,110.97,No,Social Media,3.7,Medium,2008.16
223,2026-06-20,June,Q2,24,Female,North,45083,Bronze,9,7,172.66,No,Email,3.5,Medium,4764.18
224,2026-03-22,March,Q1,56,Male,West,28436,Gold,9,7,153.62,No,Referral,3.5,Medium,3353.69
225,2026-12-19,December,Q4,49,Male,East,126120,Gold,15,11,217.79,No,Referral,4.4,Low,24583.39
226,2026-08-08,August,Q3,67,Female,North,129077,Silver,9,6,141.93,No,Social Media,3.4,Medium,4182.87
227,2026-05-02,May,Q2,40,Female,West,84671,Silver,5,5,98.66,No,Direct,3.1,Medium,2049.49
228,2026-06-25,June,Q2,20,Female,South,127547,Bronze,6,5,156.74,Yes,Direct,3.4,Medium,2855.98
229,2026-05-01,May,Q2,64,Female,North,28843,Gold,9,9,161.03,No,Social Media,3.2,Medium,6204.39
230,2026-04-19,April,Q2,26,Male,South,96881,Gold,9,7,131.0,No,Direct,3.4,Medium,3421.07
231,2026-03-19,March,Q1,33,Male,West,32854,Platinum,12,11,142.9,No,Referral,3.9,Medium,9224.38
232,2026-01-16,January,Q1,33,Female,South,104644,Bronze,3,3,144.15,Yes,Direct,4.2,Medium,1668.35
233,2026-10-23,October,Q4,50,Female,North,113704,Gold,14,8,162.01,Yes,Email,3.1,Medium,4741.94
234,2026-06-24,June,Q2,57,Female,South,61830,Gold,7,5,139.19,Yes,Email,2.9,High,2246.11
235,2026-05-18,May,Q2,27,Female,North,99887,Silver,3,3,96.65,No,Social Media,3.4,Medium,1332.43
236,2026-09-04,September,Q3,37,Male,East,59064,Silver,6,6,122.55,No,Direct,4.5,Low,3073.84
237,2026-10-08,October,Q4,69,Male,South,45395,Bronze,5,5,84.61,Yes,Email,2.7,High,761.82
238,2026-05-02,May,Q2,47,Female,North,71376,Silver,10,6,60.06,No,Social Media,2.9,High,722.87
239,2026-03-28,March,Q1,60,Female,East,93579,Silver,2,2,108.48,No,Direct,4.9,High,752.47
240,2026-10-06,October,Q4,30,Male,East,88289,Silver,5,4,144.82,Yes,Social Media,4.9,Medium,3054.98
241,2026-04-27,April,Q2,54,Male,North,52717,Gold,4,3,155.54,Yes,Email,4.3,Medium,1592.55
242,2026-01-14,January,Q1,54,Male,South,128201,Bronze,2,2,142.74,Yes,Referral,5.0,High,697.46
243,2026-05-05,May,Q2,18,Female,West,90984,Bronze,14,9,91.75,No,Email,3.2,Medium,2786.55
